Type,Size,Current $,Fabric yds,Materials $,Labor min,Etsy fee @current $,Profit/hr now $,Recommended $,Profit/hr at recommended $,Price to earn $15/hr,Price to earn $20/hr,Price to earn $25/hr
Rag garland,3 ft,12.00,0.40,5.25,25,1.59,12.38,15.00,18.90,13.20,15.51,17.81
Rag garland,4 ft,15.00,0.55,6.75,32,1.88,11.95,18.00,17.04,16.80,19.74,22.69
Rag garland,5 ft,17.50,0.70,8.25,42,2.11,10.20,22.00,16.01,21.22,25.08,28.95
Rag garland,6 ft,20.00,0.85,9.75,52,2.35,9.12,26.00,15.38,25.64,30.42,35.21
Regular pennant,48 in (7),16.00,0.46,6.15,55,1.97,8.60,20.00,12.55,22.49,27.55,32.62
Regular pennant,67 in (10),20.00,0.66,8.30,75,2.35,7.48,28.00,13.27,30.39,37.29,44.20
Medium pennant,48 in (7),14.00,0.35,5.05,45,1.78,9.56,18.00,14.39,18.51,22.65,26.80
Medium pennant,67 in (11),18.00,0.54,7.10,62,2.16,8.46,24.00,13.71,25.47,31.18,36.89
Mini pennant,48 in (13),10.00,0.23,3.85,50,1.40,5.70,12.00,7.87,18.56,23.17,27.77
Mini pennant,72 in (19),15.00,0.34,5.16,70,1.88,6.83,20.00,10.71,25.54,31.98,38.43
Bow garland,36 in (5),20.00,0.35,4.75,40,2.35,19.35,20.00,19.35,16.80,20.48,24.16
Bow garland,70 in (9),25.00,0.60,7.25,62,2.83,14.44,30.00,18.82,25.64,31.34,37.05
Birthday pennant,73 in (11),15.00,0.70,9.36,70,1.88,3.23,22.00,8.66,30.18,36.62,43.07
