Product,Size,Current $,Suggested $,Change $,Etsy fee (no ads) $,Net after Etsy (no ads) $,Etsy fee (+15% ads) $,Net after Etsy (+ads) $,Net on own site (Stripe) $,Your material+labor cost $ (fill in),Profit on own site $ (=net - cost)
"Halloween Shabby Rag Garland - Handmade, Fabric, Banner","5 feet",15.00,17.00,2.00,2.06,14.94,4.62,12.38,16.21,,
"Halloween Shabby Rag Garland - Handmade, Fabric, Banner","6 Feet",15.00,20.00,5.00,2.35,17.65,5.35,14.65,19.12,,
"Halloween Shabby Rag Garland - Handmade, Fabric, Banner","4 feet",15.00,14.00,-1.00,1.78,12.22,3.88,10.12,13.29,,
"Fabric Wristlet Keychain – Homemade Key Fob Holder","Sunny Blooms",8.00,12.00,4.00,1.59,10.41,3.39,8.61,11.35,,
"Fabric Wristlet Keychain – Homemade Key Fob Holder","Navy Blossom",8.00,12.00,4.00,1.59,10.41,3.39,8.61,11.35,,
"Fabric Wristlet Keychain – Homemade Key Fob Holder","Paw & Stripes",8.00,12.00,4.00,1.59,10.41,3.39,8.61,11.35,,
"Fabric Wristlet Keychain – Homemade Key Fob Holder","Mint Floral",8.00,12.00,4.00,1.59,10.41,3.39,8.61,11.35,,
"Fabric Wristlet Keychain – Homemade Key Fob Holder","Leopard Dot",8.00,12.00,4.00,1.59,10.41,3.39,8.61,11.35,,
"Fabric Wristlet Keychain – Homemade Key Fob Holder","Petals & Dots",8.00,12.00,4.00,1.59,10.41,3.39,8.61,11.35,,
"Halloween Spooky Shabby Rag Garland - Handmade, Fabric, Banner, Fall, Autumn, October","4 feet",15.00,14.00,-1.00,1.78,12.22,3.88,10.12,13.29,,
"Halloween Spooky Shabby Rag Garland - Handmade, Fabric, Banner, Fall, Autumn, October","5 feet",15.00,17.00,2.00,2.06,14.94,4.62,12.38,16.21,,
"Halloween Spooky Shabby Rag Garland - Handmade, Fabric, Banner, Fall, Autumn, October","6 Feet",15.00,20.00,5.00,2.35,17.65,5.35,14.65,19.12,,
"Mini St. Patrick's Day Bunting Banner - Mini Sized Pennants (3 1/2 x 3) - Handmade, Fabric, Shamrock, Green","72 inches long",10.00,14.00,4.00,1.78,12.22,3.88,10.12,13.29,,
"Mini St. Patrick's Day Bunting Banner - Mini Sized Pennants (3 1/2 x 3) - Handmade, Fabric, Shamrock, Green","48 inches long",10.00,10.00,0.00,1.40,8.60,2.90,7.10,9.41,,
"Easter Bunting Banner - Regular Sized Pennants (7 x 5 1/2) - Spring, Bunny, Homemade, Fabric","67 inches long",16.00,22.00,6.00,2.54,19.46,5.84,16.16,21.06,,
"Easter Bunting Banner - Regular Sized Pennants (7 x 5 1/2) - Spring, Bunny, Homemade, Fabric","48 inches long",16.00,16.00,0.00,1.97,14.03,4.37,11.63,15.24,,
